#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
1,01.14.11.001.003,479601.655,4617730.48,Vaki Plaza,"I. Chavchavadze Avenue, N 72a","""Vake Plaza"" LLC",Commercial,Yes,Marked,,,,253,Paid,within 400m,Good,beyond 800m,-,20 minutes free. 20 minutes -1 hour 1.5 GEL. 2.5 GEL for more than 1 hour. 18:00 - 9:00 hours 1 GEL. Monthly subscription 450 GEL.
2,01.14.11.003.025,480048.1883,4617644.448,Hausart Plaza,"I. Chavchavadze Avenue, N 60b","""Hausart - Lux"" LLC (owners of apartment units)",Mixed-use,No,Unknown,3456.54,98,,,Free,within 400m,Good,beyond 800m,-,we could not enter. The area of ​​the parking lot is searched on the website of the municipality. (3456.54:35=98.75)
3,01.14.11.027.014,479729.1474,4617401.946,Solo Bank/Nikora,"I. Abashidze St., N 70","""Georgian Development Group"" LLC (owners of apartment units)",Mixed-use,Yes,Marked,6395,188,,40,Free,within 400m,Good,beyond 800m,-,Above ground parking. Barrier entrance
4,01.14.11.007.009,480876.0589,4617476.004,pixel,"I. Chavchavadze Avenue, N 34","LLC ""Trans Invest Capital Georgia""",Retail,Yes,Marked,,66,,10,Paid,within 400m,Good,beyond 800m,-,"Commercial and Retail. 10 Parking is chargeable, all other is only for Tenats. For a purchase of 15 GEL, one hour is free, otherwise we pay 15 GEL. after one hour, the fee for each subsequent hour is 3 GEL."
5,01.14.11.016.039,480654.9959,4617354.512,TBC Bank,"I. Abashidze St., N 21a","LLC ""IMG Development""",Mixed-use,No,Unknown,708,20,,,Free,within 400m,Good,beyond 800m,-,"we could not enter. The area of ​​the parking lot is searched on the website of the municipality. (708:35=20,22)"
6,01.14.11.007.003,481002.4697,4617461.457,KFC,"I. Chavchavadze Avenue, N 30",LLC JDJ  (owners of apartment units),Mixed-use,No,Unknown,2899.87,82,,,Free,within 400m,Good,beyond 800m,-,we could not enter. The area of ​​the parking lot is searched on the website of the municipality. (2899.87:35=82.85)
7,01.15.02.010.042,482335.9757,4617084.947,Stamba,"M. Kostava St., N 14","LLC ""Kostava 14",Hotel & Casino,Yes,Marked,,,,95,Paid,within 400m,Good,within 800m,Good,The first 10 minutes is free. 1 hour 4 GEL. 50 GEL for 24 hours.
8,01.15.04.004.051,482829.3829,4616922.907,Radisson,Rose Revolution Square,"Joint Stock Company ""New Hotel""
LLC ""Limon Rial Istey""",Hotel & Casino,Yes,Marked,,,,120,Paid,within 400m,Good,within 800m,Good,"15 minutes free, 1 hour 6 GEL, 24 hours 100 GEL"
9,01.15.05.008.028,482776.7986,4616735.49,Merani,"Shota Rustaveli Ave., N 42","""Merani Hub"" LLC SJS USA INC's representative office in Georgia ""SJS POTI""        ""WARWICKSHIRE ESTATES LIMITED"" LLC ""WARWICKSHIRE ESTATES"" LLC                      ""G and Kay Development"" LLC",Retail,Yes,Marked,,,,65,Paid,within 400m,Good,within 800m,Good,"20 minutes free, 3 GEL for the next 1 hour and 0.50 GEL for the following hours. Parking is free for 3 hours with a purchase of 20 GEL (There are also offices located on the site)."
10,01.15.04.004.055,482808.5667,4617039.92,Agrohab,"Zviad Gamsakhurdia Named Right Bank, N 80","""Linxer"" LLC",Retail,Yes,Marked,,,,150,Paid,within 400m,Average,beyond 800m,-,"15 minutes free, in case of 25 GEL purchase 90 minutes free. Every next hour 3 GEL. 00:00-09:00 1 hour 1 GEL. (There is also a restaurant on the top floor.) "
11,01.15.03.019.001,482160.4155,4617329.6,Tbilisi concert hall,"Merab kostavas St., N 36/Petre Melikishvili Ave., N 1","Tinatin Kobakhidze,                                                                      Nadia Klimova,                                                                    ""Amirani"" LLC,                                                                            ""Internet Club"" LLC,                                                                     ""Olympic 2014"" LLC,                                                             ""Staring Georgia"" LLC.",Entertainment & Recreation,Yes,Marked,,21,,,Free,within 400m,Good,within 800m,Good,Entry for club members only
12,01.15.03.001.006,482145.8033,4618068.488,Tbilisi Circus,"Heroes Square, N 1","Joint Stock Company ""Circus""",Entertainment & Recreation,Yes,Marked,,,,80,Paid,within 400m,Average,beyond 800m,-,"Probably, parking is working during the period of operation of the circus. Parking is a paid. no information about parking fee "
13,01.15.03.004.051,482391.6645,4617693.275,Sports center for the development of gymnastics,"Zviad Gamsakhurdia Named Right Bank, N8.",Tbilisi municipality,Education,Yes,Unmarked,,,1300,50,Free,beyond 400m,-,beyond 800m,-,Sports center for the development of gymnastics
14,01.15.03.022.090,482510.1011,4617426.321,Nearby to Gulf and Ziraat Bank,"Zviad Gamsakhurdia Named Right Bank, N 96","""Park Lane Biograph"" Ltd.",Other,Yes,Unmarked,,,2210,85,Free,within 400m,Good,within 800m,Average,"There is an empty space. No one controls, used as parking (vacant)"
15,01.15.03.010.135 01.15.03.010.126 01.15.03.010.097,482250,4617400,Grato passage,"Merab Kostava St., N 37a","""Bemon"" LLC
""Grato Passage"" LLC
LLC ""Oasis 9""                                                                                          Municipality",Commercial,Yes,Marked,,,,90,Paid,within 400m,Good,within 800m,Good,"Parking 3 GEL for 1 hour. Each folowing hour 3 GEL. 807 sq.m is (01.15.03.010.135.) private property. 01.15.03.010.126 1234 sq.m.,  01.15.03.010.097 155 sq.m. belongs to the municipality and is used as a common area."
16,01.15.04.017.011,483244.3832,4616425.953,Tbilisi Marriott,"Gia Chanturia Dead End, N 4",GMT Hotels LLC,Hotel & Casino,Yes,Marked,,30,,,Free,within 400m,Good,within 800m,Good,Parking is free for hotel guests. They don't let anyone else
17,01.15.04.017.018,483195.3007,4616474.447,Rustaveli Theater,"Shota Rustaveli Ave., N 17","LLC ""Asset Management and Development Company""",Entertainment & Recreation,Yes,Unmarked,650,25,,,Free,within 400m,Good,within 800m,Good,
18,01.15.04.016.023,483054.7134,4616620.937,Opera,"Shota Rustaveli Ave., N 25","State JSC ""Telasi""",Entertainment & Recreation,Yes,Marked,,45,,,Free,within 400m,Good,within 800m,Good,
19,01.15.04.010.001,483149.6697,4616688.415,Police,"R. Tabukashvili St., N 27","Ekaterine Chikovani,                                       Nanuli Bilashvili,                                                 State,                                                                      LLC ""Kalas"" ,                                              ""Lagidze Plaza"" LLC,                                                               LLC ""Opera Plaza"",                                                  LLC ""Uta"",                                                           Ltd. Lagidze Plaza",Government/Police,Yes,Marked,,23,,,Free,within 400m,Good,within 800m,Good,"Above ground parking. This cadastre shows many owners, including the state, it is not clear who owns what."
20,01.15.05.046.010,483095.1689,4616318.86,Business center,"Besiki St., N 4","Partnership ""Besiki Street 4""",Commercial,Yes,Marked,,,,150,Free,within 400m,Good,within 800m,Good,Commercial and hotel. security is standing but they didn't ask anything to let us in
21,01.18.03.003.030,483894.6801,4616412.744,House of Justice,"Zviad Gamsakhurdia Named Right Bank, N 1","LLC ""Asset Management and Development Company",Service,Yes,Marked,,45,,650,Paid,within 400m,Good,beyond 800m,-,"Entrance 2 GEL. Each folowing hour 1 GEL. (Underground parking is calculated by square footage, 8050 square meters, 230 spaces. 650 in total. This does not include 45 spaces for tenant parking)."
